role_id,role_name,module_id,module_code,module_name,screen_view,tab_view,field_view,create,update,submit,return_for_fix,approve,reject,cancel,reverse,delete_draft,export,print,grant_permission,override_cap,scope_proposed,derivation
12,"ادارة المبيعات",132,Tickets/tickets_list.php,البلاغات,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",133,Tickets/ticket_form.php,"تسجيل بلاغ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",134,Tickets/ticket_sla_config.php,"أزمنة الاستجابة والإنجاز",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",135,Tickets/ticket_escalation_config.php,"سلّم التصعيد",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",136,Tickets/ticket_recurrence.php,"البلاغات الدورية",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",137,Tickets/ticket_dashboard.php,"أداء البلاغات",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",138,Maintenance/dashboard_mnt.php,"لوحة إدارة الصيانة",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",139,main/role_board.php,"لوحة الدور",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",140,Finance/operator_pay_policies_fin.php,"سياسات مستحقات المشغّلين",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",141,Equipments/equipment_documents.php,"وثائق المعدات والمشغّلين",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",142,Contracts/claims.php,المستخلصات,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",143,Finance/currencies_fin.php,"العملات وأسعار الصرف",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",144,Suppliers/settlements.php,"تسويات الموردين",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",145,Contracts/contract_obligations.php,"مصفوفة التزامات العقد",1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",146,Approvals/attribution_board.php,"لوحة الإسناد اليومي",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",147,Contracts/penalties.php,"احتساب الجزاءات والحوافز",1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",148,Workforce/employee_settlements.php,"تسويات الموظفين",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",149,Operations/containers.php,"حاويات العقود",1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,company,derived_from_4flags
12,"ادارة المبيعات",150,Projects/sites.php,"مواقع التنفيذ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",151,Workforce/contract_registry.php,"سجل العقود الموحّد",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",152,Operations/daily_plan.php,"خطة عمل الغد",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
12,"ادارة المبيعات",153,Suppliers/supplier_contract_lines.php,"بنود عقد المورد",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,no_grant
