المعرف,وثيقته,"صنف الشاهد",الشاهد
UXP-074,E-03,كود,includes/gov_columns.php
UXP-075,E-03,عارٍ,
UXP-076,E-03,عارٍ,
UXP-077,E-03,كود,includes/gov_columns.php
UXP-078,E-03,كود,includes/gov_columns.php
UXP-079,E-03,كود,includes/gov_columns.php
UXP-080,E-03,عارٍ,
UXP-081,E-03,عارٍ,
UXP-082,E-03,عارٍ,
UXP-083,E-03,عارٍ,
UXP-084,E-03,عارٍ,
UXP-085,E-03,كود,includes/gov_columns.php
UXP-086,E-03,عارٍ,
UXP-087,E-03,عارٍ,
UXP-088,E-03,عارٍ,
UXP-089,E-04,عارٍ,
UXP-090,E-04,كود,Approvals/approval_api.php
UXP-091,E-04,عارٍ,
UXP-092,M-14,كود,includes/audit_trail.php
UXP-093,E-03,كود,includes/gov_columns.php
UXP-094,E-03,عارٍ,
UXP-096,E-03,عارٍ,
UXP-097,E-03,عارٍ,
UXP-098,E-03,عارٍ,
UXP-099,E-03,عارٍ,
UXP-100,E-03,عارٍ,
UXP-101,E-03,عارٍ,
UXP-102,E-03,عارٍ,
UXP-103,E-03,عارٍ,
UXP-104,E-03,عارٍ,
UXP-105,E-03,عارٍ,
UXP-106,E-03,عارٍ,
UXP-107,E-03,عارٍ,
UXP-108,E-03,عارٍ,
UXP-109,E-03,عارٍ,
UXP-110,E-03,عارٍ,
UXP-115,E-03·E-06,كود,Governance/guards.php
UXP-116,E-03,عارٍ,
UXP-117,E-03,عارٍ,
UXP-118,E-03,عارٍ,
UXP-119,E-03,عارٍ,
UXP-120,E-03,عارٍ,
UXP-121,E-03,كود,Settings/settings.php
UXP-122,E-03,عارٍ,
UXP-123,E-03,عارٍ,
UXP-124,E-03,عارٍ,
UXP-125,E-03,عارٍ,
UXP-126,E-03,عارٍ,
UXP-127,E-02,عارٍ,
UXP-129,E-03,عارٍ,
UXP-130,E-03,عارٍ,
UXP-139,E-04,عارٍ,
UXP-144,E-03,عارٍ,
UXP-153,E-03,عارٍ,
UXP-154,E-02·E-03·E-04·E-06,عارٍ,
WF-01,WFM-01,كود,tools/update0008_audit.php
WF-02,WFM-01,اختبار/حزام,tests/wfm_engine_test.php
WF-03,WFM-01,اختبار/حزام,tests/wfm_engine_test.php
WF-04,WFM-01,اختبار/حزام,tests/wfm_engine_test.php
WF-05,WFM-01,اختبار/حزام,tests/wfm_engine_test.php
WF-06,WFM-01,كود,app/Services/Work/WorkItemService.php
WF-07,WFM-01,كود,tools/wfm_seed_dictionary.php
WF-08,WFM-01,اختبار/حزام,tests/wfm_engine_test.php
WF-09,WFM-01,عارٍ,
WF-10,WFM-01,كود,app/Services/Work/WorkItemService.php
WF-11,WFM-01,عارٍ,
WFM-001,WFM-01,كود,Portal/my_tasks.php
WFM-002,WFM-01,كود,app/Services/Work/WorkItemService.php
WFM-003,WFM-01,كود,app/Services/Work/RequestService.php
WFM-004,WFM-01,كود,app/Services/Work/WorkItemService.php
WFM-005,WFM-01,كود,app/Services/Work/RequestService.php
WFM-006,WFM-01,كود,app/Services/Work/WorkItemService.php
WFM-007,WFM-01,كود,Portal/notifications.php
WFM-008,WFM-01,كود,Portal/notifications.php
WFM-009,WFM-01,كود,app/Services/Work/AchievementService.php
WFM-010,WFM-01,كود,app/Services/Work/AchievementService.php
WFM-011,WFM-01,كود,app/Services/Work/AchievementService.php
WFM-012,WFM-01,كود,app/Services/Work/WorkItemService.php
WFM-013,WFM-01,كود,app/Services/Work/WorkItemService.php
WFM-014,WFM-01,كود,app/Services/Work/WorkItemService.php
WFM-015,WFM-01,كود,app/Services/Work/AchievementService.php
WFM-016,WFM-01,كود,app/Services/Work/AchievementService.php
WFM-017,WFM-01,كود,app/Services/Work/WorkItemService.php
WFM-018,WFM-01,كود,app/Services/Work/AchievementService.php
