nav_id,role_id,role_name,door,group_id,label_ar,route,sort,active,module_id,module_code
53,4,"ادارة الموارد البشرية",SET,,"المسميات الوظيفية",Employees/job_titles.php,10,1,57,Employees/job_titles.php
54,4,"ادارة الموارد البشرية",SET,,"الأدوار الوظيفية",Employees/employee_roles.php,20,1,58,Employees/employee_roles.php
73,4,"ادارة الموارد البشرية",SET,,الإعدادات,Settings/settings.php,30,1,11,Settings/settings.php
80,5,"إدارة الموقع",APPR,,"وحدات الأطراف",Finance/unit_records_fin.php,10,1,105,Finance/unit_records_fin.php
511,5,"إدارة الموقع",APPR,,"موافقات إدارتي",FinRequests/dept_inbox.php,10,1,116,FinRequests/dept_inbox.php
82,5,"إدارة الموقع",APPR,,"اعتماد الوحدات التشغيلية",Approvals/hours_approval.php,20,1,,
504,5,"إدارة الموقع",APPR,,"الميزانية والانحراف",Finance/budget_form_fin.php,20,1,89,Finance/budget_form_fin.php
765,5,"إدارة الموقع",DAILY,,"غرفة عمليات التشغيل",Operations/operations_room.php,5,1,193,Operations/operations_room.php
74,5,"إدارة الموقع",DAILY,,"تسجيل الوحدات",Timesheet/timesheet_type.php,10,1,10,Timesheet/timesheet_type.php
604,5,"إدارة الموقع",DAILY,,"خطة عمل الغد",Operations/daily_plan.php,15,1,152,Operations/daily_plan.php
77,5,"إدارة الموقع",DAILY,,"طلب مالي جديد",FinRequests/request_form.php,20,1,114,FinRequests/request_form.php
78,5,"إدارة الموقع",DAILY,,"طلباتي المالية",FinRequests/my_requests.php,30,1,115,FinRequests/my_requests.php
468,5,"إدارة الموقع",HOME,,الرئيسية,main/role_board.php,10,1,139,main/role_board.php
75,5,"إدارة الموقع",REC,,"إدارة المعاونين",main/project_users.php,10,1,14,main/project_users.php
79,5,"إدارة الموقع",REC,,"المعاملات المالية",Finance/events_list_fin.php,20,1,86,Finance/events_list_fin.php
583,5,"إدارة الموقع",REC,,"حاويات العقود",Operations/containers.php,48,1,149,Operations/containers.php
593,5,"إدارة الموقع",REC,,"مواقع التنفيذ",Projects/sites.php,49,1,150,Projects/sites.php
76,5,"إدارة الموقع",REP,,"مركز التقارير",Reports/reports.php,10,1,4,Reports/reports.php
81,5,"إدارة الموقع",REP,,"التكاليف والربحية",Finance/cost_report_fin.php,20,1,92,Finance/cost_report_fin.php
83,5,"إدارة الموقع",SET,,الإعدادات,Settings/settings.php,10,1,11,Settings/settings.php
90,6,"أدارة الحركة وتشغيل",APPR,,"وحدات الأطراف",Finance/unit_records_fin.php,10,1,105,Finance/unit_records_fin.php
512,6,"أدارة الحركة وتشغيل",APPR,,"موافقات إدارتي",FinRequests/dept_inbox.php,10,1,116,FinRequests/dept_inbox.php
505,6,"أدارة الحركة وتشغيل",APPR,,"الميزانية والانحراف",Finance/budget_form_fin.php,20,1,89,Finance/budget_form_fin.php
841,6,"أدارة الحركة وتشغيل",APPR,,"أذونات المواقع",admin/org_permits.php,90,1,218,admin/org_permits.php
766,6,"أدارة الحركة وتشغيل",DAILY,,"غرفة عمليات التشغيل",Operations/operations_room.php,5,1,193,Operations/operations_room.php
767,6,"أدارة الحركة وتشغيل",DAILY,,"مساحة التوزيع",Operations/distribution_space.php,6,1,194,Operations/distribution_space.php
84,6,"أدارة الحركة وتشغيل",DAILY,,"متابعة المشروع",movement/map_page.php,10,1,34,movement/map_page.php
85,6,"أدارة الحركة وتشغيل",DAILY,,الورديات,movement/movement_operations.php,20,1,30,movement/movement_operations.php
87,6,"أدارة الحركة وتشغيل",DAILY,,"طلب مالي جديد",FinRequests/request_form.php,30,1,114,FinRequests/request_form.php
88,6,"أدارة الحركة وتشغيل",DAILY,,"طلباتي المالية",FinRequests/my_requests.php,40,1,115,FinRequests/my_requests.php
469,6,"أدارة الحركة وتشغيل",HOME,,الرئيسية,main/role_board.php,10,1,139,main/role_board.php
86,6,"أدارة الحركة وتشغيل",REC,,المشرفين,main/project_users.php,10,1,14,main/project_users.php
89,6,"أدارة الحركة وتشغيل",REC,,"المعاملات المالية",Finance/events_list_fin.php,20,1,86,Finance/events_list_fin.php
695,6,"أدارة الحركة وتشغيل",REC,,"نطاقات العقد التشغيلية",Contracts/contract_sites.php,71,1,172,Contracts/contract_sites.php
705,6,"أدارة الحركة وتشغيل",REC,,"الجدول الشهري للعقد",Contracts/contract_monthly_plan.php,73,1,174,Contracts/contract_monthly_plan.php
709,6,"أدارة الحركة وتشغيل",REC,,"خطة موارد العقد",Contracts/contract_resource_plan.php,74,1,175,Contracts/contract_resource_plan.php
840,6,"أدارة الحركة وتشغيل",REC,,"التكليفات التنظيمية",admin/org_assignments.php,95,1,216,admin/org_assignments.php
91,6,"أدارة الحركة وتشغيل",REP,,"التكاليف والربحية",Finance/cost_report_fin.php,10,1,92,Finance/cost_report_fin.php
92,6,"أدارة الحركة وتشغيل",REP,,"مركز التقارير",Reports/reports.php,20,1,4,Reports/reports.php
93,6,"أدارة الحركة وتشغيل",SET,,الإعدادات,Settings/settings.php,10,1,11,Settings/settings.php
104,7,"مشرف - مشاريع",APPR,,"موافقات إدارتي",FinRequests/dept_inbox.php,10,1,116,FinRequests/dept_inbox.php
106,7,"مشرف - مشاريع",APPR,,"وحدات الأطراف",Finance/unit_records_fin.php,20,1,105,Finance/unit_records_fin.php
107,7,"مشرف - مشاريع",APPR,,"الميزانية والانحراف",Finance/budget_form_fin.php,30,1,89,Finance/budget_form_fin.php
102,7,"مشرف - مشاريع",DAILY,,"طلب مالي جديد",FinRequests/request_form.php,10,1,114,FinRequests/request_form.php
103,7,"مشرف - مشاريع",DAILY,,"طلباتي المالية",FinRequests/my_requests.php,20,1,115,FinRequests/my_requests.php
